Top 100 Degree,Rank degree,Top 100 BottleNeck,Rank bottleneck
TP53,187,TP53,40
MYC,149,MYC,19
JUN,142,IL6,11
CDKN2A,136,UBB,10
CDK1,129,CDKN1A,8
CDK2,127,CCNA2,8
CCND1,127,CDK1,7
H3-4,121,VDAC1,6
CCNB1,119,AKT1,4
RB1,118,RBBP4,4
CCNA2,117,H3-4,4
EZH2,114,UBC,3
AKT1,112,PIK3CB,3
CDK4,111,MAPK3,3
CCNA1,107,MAPKAPK2,3
H2AX,107,KAT5,3
PTEN,106,SLC25A4,3
MAPK14,106,MAPK8,3
CDKN1A,105,RELA,2
H2BC21,104,CHEK1,2
ATM,102,TRPV4,2
NFKB1,100,JUN,2
UBC,99,PTEN,2
BMI1,99,RBBP7,2
FOS,99,CCNB1,2
RPS27A,97,HIPK3,2
H2BC5,97,CDK2,2
H2BC12,96,CEBPB,2
H2BC3,96,ANAPC1,2
SIRT1,96,HLA-G,2
H2BC4,94,H2AX,2
H2AC20,94,DNAJC7,2
H2BC14,94,UBA52,2
H2AC18,93,H2BC15,2
H2BC17,93,H2AB1,2
UBA52,93,UBE2D1,2
E2F1,92,TXN,2
H2BC13,92,MAP2K6,2
H2BC11,92,PPP1CB,2
H2BC9,92,SLC25A5,1
H2BC1,91,EHMT2,1
CDKN1B,90,SUZ12,1
RBBP4,90,CDC16,1
STAT3,90,SLC25A6,1
H2BC15,90,MAP2K7,1
IL6,89,EZH2,1
UBB,87,ANAPC11,1
H2AC14,84,SP1,1
H2AZ2,83,MAPK11,1
MDM2,82,MAPK9,1
H2AC7,82,TNRC6C,1
H2AC6,82,RAF1,1
MAPK3,80,EED,1
RNF2,78,FOXO3,1
EHMT2,77,MAP2K4,1
MAPK11,77,EIF4EBP1,1
FOXO3,77,CACNA1D,1
CHEK2,77,CCNE2,1
RELA,76,E2F1,1
RING1,75,CAPN1,1
CCNE1,75,ETS2,1
MAPK8,75,GATA4,1
SUZ12,74,E2F2,1
MAPK1,74,ZFP36L2,1
H2AJ,74,CAPN2,1
CDK6,74,HMGA2,1
CEBPB,72,RNF2,1
ago-01,72,HMGA1,1
RBBP7,71,VENTX,1
H2AB1,71,RASSF5,1
CBX8,71,H1-5,1
CBX2,71,H1-1,1
CHEK1,70,AKT3,1
PHC3,70,H1-4,1
CBX4,70,ago-03,1
ago-03,69,RAD9A,1
PHC1,69,CBX6,1
ago-04,69,H1-3,1
MTOR,68,TFDP2,1
TNRC6C,67,H1-2,1
MOV10,67,PHC3,1
TNRC6B,67,MCU,1
TNRC6A,67,MAPK1,1
CDC25A,67,VDAC2,1
KDM6B,67,CDKN2D,1
PHC2,66,TSC2,1
UBE2C,65,VDAC3,1
EED,64,EP400,1
TGFB1,64,TGFB1,1
CDC27,64,PHC1,1
EHMT1,63,SERPINE1,1
KAT5,63,H1-0,1
H1-0,62,ETS1,1
SMAD2,62,NFKB1,1
PIK3CA,61,MAPKAPK3,1
TFDP1,60,CDKN1B,1
FZR1,60,RING1,1
FOXO1,59,H3C15,1
SP1,58,H4C1,1
MAP2K1,58,TGFB3,1
